0, 9595888050602.734
1, 680371777508.3949
2, 481796199717.0135
0, 9595888050602.734
1, 714540962849.4359
2, 431136519348.33936
3, 311153450252.5056
4, 272396269287.96936
5, 210423742198.58734
6, 166205215713.48743
7, 133261704203.75795
8, 116087501690.54054
9, 91788443838.61378
10, 82029576560.58298
11, 64345919767.76881
12, 57865713253.11498
13, 54729804475.512276
14, 48660379906.35698
15, 47471405561.9627
16, 44887581621.30278
17, 40095345130.24059
18, 39026800888.641884
19, 37693351305.67523
20, 36389141722.00394
21, 34894584796.33818
22, 32551923211.62049
23, 27071016058.50074
24, 24093244466.20718
25, 21206048433.751217
26, 20112665062.781895
27, 19370140178.310535
28, 18669799835.98602
29, 18017719809.98113
30, 17901809424.07982
31, 17472609804.01057
32, 17100198124.382875
33, 16983848667.682373
34, 16921746099.693224
35, 16845048972.595806
36, 16699827400.484108
37, 16632581601.193274
38, 16626671968.933258
39, 16616620822.14554
40, 16606246915.691221
41, 16596606435.988922
42, 16582550277.186567
43, 16567417795.784922
44, 16559362733.72675
45, 16555898009.919615
46, 16530778389.269707
47, 16527680039.769222
48, 16520826624.608612
49, 16519360412.13982
0, 9832364315892.756
1, 801425862547.8219
2, 623904214093.8514
3, 498379349261.40576
4, 410463937528.2877
5, 338034144325.4589
6, 260393141980.3645
7, 209982258439.0927
8, 184676878397.7444
9, 150580761105.50357
10, 108751762546.45926
11, 79907454011.8109
12, 67430233418.54994
13, 47222270443.05833
14, 35085803591.8127
15, 26217681189.928844
16, 23665161289.025673
17, 22625299279.8423
18, 19882619906.02345
19, 18525865076.719788
20, 17190571559.655987
21, 15929166701.021877
22, 13530354283.156239
23, 12272079496.213789
24, 11314810314.631742
25, 10300254609.903334
26, 9604785863.133793
27, 8936806636.166393
28, 8408847408.666093
29, 6557298663.066712
30, 6092539481.68477
31, 5790712822.986498
32, 5718627669.38105
33, 5622814648.359633
34, 5527080664.061325
35, 5172339163.659942
36, 4928449287.169403
37, 4812792410.679479
38, 4770509377.866234
39, 4668043250.548669
40, 4618001274.65842
41, 4571306071.841563
42, 4536478801.531678
43, 4503013546.979653
44, 4388569683.132708
45, 4371399933.650268
46, 4368724037.973882
47, 4359452266.553506
48, 4354305179.168421
49, 4337653184.820142
0, 9217288884797.232
1, 784273672704.6671
2, 585607940926.2526
3, 351205942500.58685
4, 280558730889.9746
5, 240617018717.45078
6, 193866190969.91348
7, 148824524286.35907
8, 119084012097.92758
9, 97462696583.23537
10, 80021570122.96829
11, 59625810505.26337
12, 55586010472.04973
13, 47546652895.36094
14, 37746202780.894844
15, 31117164835.3628
16, 27367793326.29785
17, 22286720933.516228
18, 18203012542.763958
19, 16266520331.206978
20, 14794580706.514395
21, 13536381278.715229
22, 12349179118.013626
23, 12148293991.908163
24, 11263274949.897131
25, 10415091034.38475
26, 10086380595.481295
27, 9847503413.619247
28, 9467571777.29953
29, 7189738651.835742
30, 6801787313.660394
31, 6552663756.241027
32, 6460520288.836832
33, 6308548335.756451
34, 6198430728.38302
35, 6147296985.852596
36, 5964169593.47453
37, 5616952890.212584
38, 5151600095.619116
39, 3706859504.238538
40, 2308685509.221823
41, 986280773.1721653
42, 963164874.4040902
43, 911821832.0923644
44, 788142163.1990807
45, 767612040.5098587
46, 758903924.3851787
47, 746194658.1043676
48, 734175576.9278116
49, 733354990.905612
0, 9822522818827.697
1, 650733830004.5399
2, 558113224568.3999
3, 388173527279.757
4, 311173356159.1349
5, 245426720099.96265
6, 209177377185.8964
7, 166874418448.6685
8, 140599711646.28278
9, 115746712808.10733
10, 88904125649.6552
11, 71395523272.4071
12, 63367223025.97754
13, 54219742739.09883
14, 40754149192.03276
15, 32205147858.326553
16, 28707772370.305443
17, 24119437261.324383
18, 19813380550.325367
19, 17332100529.61908
20, 15455938288.010975
21, 13976684106.31234
22, 10944173241.972584
