epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, Single, Single Fac, Single Runs, Single PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO, PSO
0.001,10,1879523.8151072785,21,50,8.962857142857143,epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, Single, Single Fac, Single Runs, Single PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO, PSO
0.001,10,1789567.0576449041,21,50,9.041904761904762,2816515.664943581,1000,18,7.0697648928591,1611935.4637616083,961,16,9.242397697409586,1994847.624123751,1000,18,8.328594435497306,1547058.532912685,500,35,8.151848095560062,32196423.74013082
0.001,10,1683018.4061281756,21,50,9.078095238095239,2528871.700112407,1000,18,7.154381542171316,1578454.4377216692,961,16,9.297021649355525,1614895.646297731,1000,18,8.297773088243462,1251598.4616262242,500,35,8.09539102997521,33128450.85271551
0.001,10,1608513.0655405559,21,50,8.836190476190476,2202529.276021401,1000,18,7.161725215103853,1374618.8546595864,961,16,9.275872856964085,1476556.0216742915,1000,18,8.243905147998001,1125405.4110682094,500,35,8.092742844264142,34371901.419476315
0.001,10,1603078.7409142365,21,50,9.032380952380953,2508336.009866321,1000,18,7.232586178549899,1568072.9742705382,961,16,9.318295582530347,1686918.915343952,1000,18,8.320375409562947,1311083.937098257,500,35,8.084516565246789,34316447.512278795
0.001,10,1815183.5239502392,21,50,9.143809523809523,2578913.856314351,1000,18,7.213185729160958,1647377.0487545764,961,16,9.335252158678513,1955149.1586171782,1000,18,8.365802188037986,1487317.824797408,500,35,8.022256028848322,31853580.064051174
0.001,10,1923179.4501442288,21,50,8.892380952380952,2719244.385837226,1000,18,7.25439798323012,1604227.847134664,961,16,9.24577649856088,1841451.220403063,1000,18,8.363525295718333,1342800.3707252839,500,35,8.171850349335136,32430692.636348255
0.001,10,1947011.0927245687,21,50,8.98,2808067.694256903,1000,18,7.210829177399025,1680030.0434624874,961,16,9.338192967087974,1806656.4863700173,1000,18,8.306714055645028,1452623.8182640194,500,35,8.157707910750506,34001542.66088729
0.001,10,1852181.4199982348,21,50,8.858095238095238,2920741.3094442836,1000,18,7.237737710308544,1636514.1930745295,961,16,9.290013765486172,1902804.4447163567,1000,18,8.311434442161381,1440751.9902795611,500,35,8.130155510480055,31298307.478596665
0.001,10,1710388.4768720749,21,50,8.747619047619047,2381335.181424236,1000,18,7.2036499150545295,1520519.082505082,961,16,9.231948441997247,1536317.3398428531,1000,18,8.336702393513633,1222328.0297419175,500,35,8.093306288032455,32627880.822765656
0.001,10,1932086.7957109108,21,50,8.96952380952381,2591199.082093277,1000,18,7.210938784457719,1623326.8456277964,961,16,9.304530096358404,1778355.4438007115,1000,18,8.319486866218693,1381637.5885349177,500,35,8.11111111111111,32688592.993833274
0.001,10,1893482.7841816351,21,50,8.878095238095238,2565559.1516697574,1000,18,7.144242889242067,1502543.485358219,961,16,9.306344637717432,1704374.4725056393,1000,18,8.314710945743322,1357778.5685470933,500,35,8.08693937345053,35834569.87797524
0.001,10,1945925.8153289256,21,50,9.16095238095238,2554057.0097673824,1000,18,7.166438318627719,1651123.3448584783,961,16,9.306532348892505,1734802.240382888,1000,18,8.327372688398956,1375546.5553848706,500,35,8.07888212756367,29924006.868662585
