epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
0.5,10,3217409668.072033,2,50,371.55,1553378693.8824606,50,50,342.1344,500458127.35171217,1000,18,134.07036152607319,epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
0.5,10,4815476634.833997,2,50,9.12,1816921008.5563166,50,50,8.904,524342858.6848465,1000,18,8.33742433498084,517797318.0258816,500,35,8.026031102096011,
0.5,10,5231553035.282827,2,50,10.36,868990057.8063602,50,50,9.9456,533299679.3739366,1000,18,8.320653079358028,618001650.938661,500,35,8.033243182330404,
0.5,10,3104498086.3381352,2,50,10.03,804542549.2793089,50,50,8.998,561154944.6140932,1000,18,8.312656189259732,401301960.4124637,500,35,8.025185936443544,
0.5,20,1748439962.6321025,2,50,9.46,1615141884.973261,50,50,9.6832,367235102.9641093,1000,9,8.474592940662223,507450852.2905065,500,18,8.25461741424802,
0.5,20,1867823559.2386825,2,50,10.29,1351657973.9279883,50,50,9.1,519427832.41579413,1000,9,8.340727789312643,556245903.8985082,500,18,8.33278364116095,
0.5,20,2717554750.9179854,2,50,10.07,1185485964.8459337,50,50,9.3148,641814378.0152524,1000,9,8.49251447929188,666357623.6568118,500,18,8.309916446789797,
0.5,25,1947992165.5473258,2,50,9.2,1729439947.0876913,50,50,9.0244,655178939.6071037,1000,7,8.426900584795321,773652076.1629218,500,14,8.395989633065065,
0.5,25,1566068899.5554266,2,50,10.73,1255806355.3990874,50,50,8.7368,455190068.4583411,1000,7,8.34421324629403,438933022.87451524,500,14,8.43336516164234,
0.5,25,1714972504.2219467,2,50,9.69,770199382.930041,50,50,9.272,664775681.9656637,1000,7,8.348157214742281,762687516.0440466,500,14,8.460237348247169,
0.5,50,1340896858.6743147,2,50,10.25,1171522343.9688728,50,50,9.07,659993340.3164481,1000,3,8.481261795632246,358324440.9254446,500,7,8.86209699268491,
0.5,50,1154243543.9689257,2,50,10.18,1297615219.0423684,50,50,8.662,623316701.727569,1000,3,8.458883796171476,512988686.699094,500,7,8.910051476564616,
