epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
0.5,10,228.74207794335646,38,50,371.24684210526317,225.32139306847398,129,50,374.2714728682171,220.18157028962392,1000,18,132.18242905536735,epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
0.5,10,228.77366888520945,38,50,8.177368421052632,226.2878365198156,129,50,8.247906976744186,220.658375164338,1000,18,7.682734492141945,221.6917439586489,500,35,7.382352941176471,
0.5,10,229.186692162793,38,50,8.077894736842106,227.17452150894806,129,50,8.241240310077519,220.6234328722985,1000,18,7.639306936191481,221.9715577210377,500,35,7.435992787919766,
0.5,10,228.73813313813633,38,50,8.10421052631579,224.99384228085677,129,50,8.248372093023256,220.3259480798588,1000,18,7.6569112011995335,221.93690185519904,500,35,7.3795920667117425,
0.5,20,230.06934508424382,38,50,7.724210526315789,227.10966153647186,129,50,7.801395348837209,220.77150838327879,1000,9,7.718500710304885,222.4563252071896,500,18,7.4710861917326294,
0.5,20,230.57587632180275,38,50,7.643684210526316,225.9957524218637,129,50,7.844186046511628,220.96075017827258,1000,9,7.717298655884603,222.5039751215573,500,18,7.580584872471416,
0.5,20,231.6069360689398,38,50,7.3989473684210525,228.0049632754488,129,50,7.811007751937985,220.81981433903138,1000,9,7.804939350890613,222.32484457912005,500,18,7.528693931398417,
0.5,25,229.23627030063088,38,50,7.661052631578947,228.68287414069974,129,50,7.778759689922481,221.5525242706584,1000,7,7.844281245750034,222.24223201754344,500,14,7.545218933296958,
0.5,25,230.51612832372965,38,50,7.428421052631579,227.79446076903875,129,50,7.607286821705427,221.70841065360997,1000,7,7.870257037943697,222.62193572799382,500,14,7.6963579320692945,
0.5,25,230.10496934554703,38,50,7.802105263157895,228.6480830712723,129,50,7.725271317829457,221.38995448064077,1000,7,7.759009927920577,222.84062515580686,500,14,7.559541672350293,
0.5,50,232.6590964957127,38,50,7.757894736842105,230.40722893962092,129,28,7.387849199891511,226.4364821946039,1000,3,7.905634942032893,224.9525535333309,500,7,7.627201300460579,
